sample_id,Temperature1/C,Time1/min,Temperature2/C,Time2/min,Temperature3/C,Time3/min,tensile strength/MPa,Young's modulus/Mpa,elongation_max/%,Tg
1,125,139,155,195,181,130,110.5,4455.6,3.19,122.51
2,104,240,140,244,180,230,135.5,4405,6.387,122
3,98,181,147,157,174,288,135.1,4436.7,6.74,119.1
4,116,282,132,288,185,208,131.9,4316.2,6.74,117.88
5,113,210,142,259,188,161,133.8,4370.7,5.63,124.93
6,100,266,157,142,171,240,133.6,4298.4,6.3,122.79
7,109,156,135,228,176,273,132.8,4402.5,5.9,120.67
8,119,212,150,166,184,172,130.6,4577.56,4.9,121.34
9,120,175,137,124,179,194,137.1,4339.7,7.27,121.76
10,107,299,152,276,182,296,134.4,4315.6,6.65,127.81
11,101,122,145,184,186,217,124.3,4390.06,3.9,123.8
12,110,246,160,211,173,139,122.4,4457.4,3.87,132.96
13,116,150,146,241,170,186,130.02,4396.2,5.22,134.02
14,96,229,131,199,189,264,132.2,4460.2,6.8,134.2
15,120,237,151,157,188,180,138.25,4516.7,6.7,125.514
16,116,247,145,162,183,235,135.4,4273.3,7.23,126.441
17,96,287,137,205,189,283,131.7,4570,4.23,126.703
18,101,248,132,198,190,300,108.8,4700,2.88,128.624
19,117,206,159,140,172,143,138.41,4657,4.77,128.717
20,95,185,135,196,187,300,137.7,4813,4.32,129.885
21,119,294,146,157,189,192,120.79,4722,3.32,131.648
22,95,206,130,156,190,258,107.24,4732,2.83,129.341
23,102,135,137,269,188,270,127.67,4580,4.01,132.523
24,95,169,133,161,189,300,84.02,4820,1.97,116.249
25,107,193,145,243,183,219,78.42,4760,1.86,117.328
26,114,187,153,230,170,145,112.84,4590,3.2,130.297
27,122,236,141,235,180,213,140.2,4480,5.77,132.4
28,95,174,130,227,190,280,132.8,4650,4.4,125
29,120,227,133,291,175,170,139.7,4540,6.2,126.4
30,95,191,131,246,189,275,140.1,4530,6.72,127
